Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
"""Lyra e. V."", Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler","Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Sewanstraße 43, 10319 Berlin",Arbeit,Unterstützung ehrenamtlicher Arbeit in der KULTSchule,1964
"""Märkische Scholle"" Wohnungsunternehmen eG","Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2019,"Paderborner Straße 3, 10709 Berlin",Wirtschaft,Elektrofahrzeug,8000
"""Märkische Scholle"" Wohnungsunternehmen eG","Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Paderborner Straße 3, 10709 Berlin",Wirtschaft,Ladeinfrastruktur,4488
"""Merkur"" e. V. Berlin f. soziale Arbeit",Bezirksamt Lichtenberg,Projektförderung,2016,"Wollenberger Straße 10, 13053 Berlin",Soziales,Kältehilfe 2016,30000
"""Merkur"" e. V. Berlin f. soziale Arbeit",Bezirksamt Lichtenberg,Projektförderung,2017,"Wollenberger Straße 10, 13053 Berlin",Soziales,Kältehilfe 2017,30000
"""Merkur"" e. V. Berlin f. soziale Arbeit",Bezirksamt Lichtenberg,Projektförderung,2018,"Wollenberger Straße 10, 13053 Berlin",Soziales,Notübernachtung,53970
"""Merkur"" e.V. Berlin f. soziale Arbeit",Bezirksamt Lichtenberg,Projektförderung,2019,"Wollenberger Straße 10, 13053 Berlin",Soziales,Notübernachtung (Kältehilfe),53970
"""Roter Baum"" Berlin UG",Bezirksamt Marzahn-Hellersdorf,Projektförderung,2020,"Stendaler Straße 43, 12627 Berlin",Gesundheit,APG 0920-68406-353 / Projektnr. APG-MH/1-2020 / Projekt 4 Janz nah draussen,5000
"""Wunderinsel"" gGmbH","Senatsverwaltung für Bildung, Jugend und Wissenschaft",Projektförderung,2016,"Marie-Elisabeth-Lüders-Straße 8, 10625 Berlin",Jugend,Baul. Maßnahme -Schaffung von Plätzen - Kitaausbauprogramm,196000
#BIKEYGEES e. V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2017,"Kottbusser Damm 79, 10967 Berlin",Gleichstellung,Öffentlichkeitsarbeit und Beschaffung,5000
#BIKEYGEES e. V.,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",Projektförderung,2020,"Friesenstraße 11, 10965 Berlin",Verkehr,Radfahrtrainings für geflüchtete Frauen,21760
#BIKEYGEES e.V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2018,"Kottbusser Damm 79, 10967 Berlin",Gleichstellung,Öffentlichkeitsarbeit und Beschaffung,3000
]init[ Aktiengesellschaft für digitale Kommunikation,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Köpenicker Straße 9, 10997 Berlin",Wirtschaft,Errichtung einer Betriebsstätte,660000
„Alice-Salomon“-Hochschule für Sozialarbeit und Sozialpädagogik Berlin,Senatskanzlei - Wissenschaft -,Projektförderung,2020,"Alice-Salomon-Platz 5, 12627 Berlin",Wissenschaft,Sonstige Zuschüsse für konsumtive Zwecke im Inland: Kompensation von Mieten/ Umbau von Infrastrukturflächen,162500
1 - 2 - 3 Beschläge GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2019,"Colditzstraße 33, 12099 Berlin",Wirtschaft,Elektrofahrzeug,4000
1 VfL Fortuna Marzahn,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Tschudistraße 25, 12621 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Trainern mit Schwerpunkt im Kinder- und Jugendsport,11739
1. Berliner Bogenschützen e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Friedrichsruher Straße 26, 14193 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,475
1. Berliner Bogenschützen e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"Friedrichsruher Straße 26, 14193 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,493
